Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,RPE
2023-12-28 11:41:25,"Morning Workout",21m,"Bench Press (Barbell)",1,75.0,10.0,0,0.0,
2023-12-28 11:41:25,"Morning Workout",21m,"Bench Press (Barbell)",2,75.0,10.0,0,0.0,
2023-12-28 11:41:25,"Morning Workout",21m,"Bench Press (Barbell)",3,75.0,10.0,0,0.0,
2023-12-28 11:41:25,"Morning Workout",21m,"Bicep Curl (Barbell)",1,30.0,10.0,0,0.0,
2023-12-28 11:41:25,"Morning Workout",21m,"Bicep Curl (Barbell)",2,40.0,10.0,0,0.0,
2023-12-28 11:41:25,"Morning Workout",21m,"Bicep Curl (Barbell)",3,40.0,10.0,0,0.0,
2023-12-28 11:41:25,"Morning Workout",21m,"Lat Pulldown (Cable)",1,50.0,10.0,0,0.0,
2023-12-28 11:41:25,"Morning Workout",21m,"Lat Pulldown (Cable)",2,50.0,10.0,0,0.0,
2023-12-28 11:41:25,"Morning Workout",21m,"Lat Pulldown (Cable)",3,50.0,10.0,0,0.0,
2023-12-28 12:25:21,"Midday Workout",34s,"Running",1,0,0.0,0.5,360.0,
2024-01-06 14:17:05,"Afternoon Workout",10m,"Bicep Curl (Barbell)",1,40.0,10.0,0,0.0,
2024-01-06 14:17:05,"Afternoon Workout",10m,"Bicep Curl (Barbell)",2,40.0,10.0,0,0.0,
2024-01-06 14:17:05,"Afternoon Workout",10m,"Bicep Curl (Barbell)",3,40.0,10.0,0,0.0,
2024-01-06 14:17:05,"Afternoon Workout",10m,"Squat (Barbell)",1,45.0,10.0,0,0.0,
2024-01-06 14:17:05,"Afternoon Workout",10m,"Squat (Barbell)",2,45.0,10.0,0,0.0,
2024-01-06 14:17:05,"Afternoon Workout",10m,"Squat (Barbell)",3,45.0,10.0,0,0.0,
2024-01-06 14:17:05,"Afternoon Workout",10m,"Seated Row (Cable)",1,55.0,10.0,0,0.0,
2024-01-06 14:17:05,"Afternoon Workout",10m,"Seated Row (Cable)",2,70.0,10.0,0,0.0,
2024-01-06 14:17:05,"Afternoon Workout",10m,"Seated Row (Cable)",3,70.0,10.0,0,0.0,
2024-01-06 14:17:05,"Afternoon Workout",10m,"Running",1,0,0.0,0.7,420.0,
2024-01-06 14:17:05,"Afternoon Workout",10m,"Bench Press (Barbell)",1,75.0,8.0,0,0.0,
