Word,Frequency Rank,Zipf Frequency,Definition
Antioch,53,3.06,
Atia,466,1.75,
Byronic,478,1.72,"Pertaining to, or in the style of, Lord Byron. With despair and Byronic misanthropy. Thackeray"
Calamity Jane,40,3.19,
Chautauqua,159,2.64,(noun) A place in the state of New York where people go over in the summer for vacation to enjoy artistic events.; A kind of travelling tent-show which used to move across America featuring popular talks.
"Clabbered,",100000,0,(verb) To sour or curdle. | (adjective) Thickened or curdled.
Divining,328,2.21,"(verb) To foretell (something), especially by the use of divination.; To guess or discover (something) through intuition or insight. | (noun) The action of the verb to divine in any sense. | (adjective) That or who divines (in any sense of the verb)."
Doxology,446,1.84,"(noun) An expression of praise to God, especially a short hymn sung as part of a Christian worship service."
Edenic,504,1.54,"(adjective) Of or suggesting Eden, the paradise of the Bible."
Flaubert,272,2.35,
Gentile,59,3.03,"(noun) A non-Jewish person.; (grammar) A noun derived from a proper noun which denotes something belonging to or coming from a particular city, nation, or country. | (adjective) Non-Jewish.; Heathen, pagan."
Goering,235,2.42,
Great White Way,1,5.27,"Broadway, in New York City, in the neighborhood chiefly occupied by theaters, as from about 30th Street about 50th Street; -- so called from its brilliant illumination at night."
Henry James,5,4.59,
Hippocratic Oath,240,2.41,
Laconic,252,2.39,(adjective) Using as few words as possible; pithy and concise.
Machiavellian,202,2.52,"(adjective) Attempting to achieve goals by cunning, scheming, and unscrupulous methods, especially in politics or in advancing one's career.; Related to the philosophical system of Niccolò Machiavelli."
Methusaleh,100000,0,
Norman Rockwell,42,3.15,
Occam’,479,1.72,
Old Nick,6,4.56,
Parthia,422,1.98,
Parthian,321,2.23,"Of or pertaining to ancient Parthia, in Asia. -- n.  A native Parthia. Parthian arrow, an arrow discharged at an enemy when retreating from him, as was the custom of the ancient Parthians; hence, a parting shot."
Pernod,293,2.3,
Reproaches,348,2.17,"(noun) A mild rebuke, or an implied criticism.; Disgrace or shame. | (verb) To criticize or rebuke (someone).; To disgrace, or bring shame upon."
Siam,46,3.09,
Tartary,470,1.74,"Tartarus. [Obs.] Spenser. TARTINI'S TONES Tar*ti""ni's tones`. Etym: [From Tartini, an Italian violinist, who discovered them in 1754.]  See the Note under Tone."
Transalpine Gaul,519,1.44,
abeyance,268,2.36,"(noun) Expectancy; condition of ownership of real property being undetermined; lapse in succession of ownership of estate, or title.; Suspension; temporary suppression; dormant condition."
absconded,264,2.37,"(verb) To flee, often secretly; to steal away, particularly to avoid arrest or prosecution.; To withdraw from."
abstruse,365,2.13,(adjective) Difficult to comprehend or understand.; Concealed or hidden out of the way; secret.
accosts,512,1.51,"(noun) Address; greeting.; An attack. | (verb) To approach and speak to boldly or aggressively, as with a demand or request.; To join side to side; to border."
acme,84,2.89,(noun) The top or highest point; pinnacle; culmination.; The crisis or height of a disease.
addled,186,2.56,"(verb) (provincial) To earn, earn by labor; earn money or one's living.; (provincial) To thrive or grow; to ripen. | (verb) To make addle; to grow addle; to muddle; To cause fertilised eggs to lose viability, by killing the developing embryo within through shaking, piercing, freezing or oiling, without breaking the shell. | (adjective) (of eggs) Bad, rotten; inviable, containing a dead embryo.; Confused; mixed up."
adduced,396,2.05,"(verb) To bring forward or offer, as an argument, passage, or consideration which bears on a statement or case; to cite; to allege."
aiguilles,559,1.12,"(noun) A needle-shaped peak.; An instrument for boring holes, used in blasting."
alabaster,139,2.71,"(noun) A fine-grained white or lightly-tinted variety of gypsum, used ornamentally.; A variety of calcite, translucent and sometimes banded. | (adjective) Made of alabaster; Resembling alabaster: white, pale, translucent."
alighted,341,2.19,"(verb) (with from) To get off or exit a vehicle or animal; to descend; to dismount.; (with on or at) To descend and settle, lodge, rest, or stop. | (verb) To make light or less heavy; lighten; alleviate. | (verb) To light; light up; illuminate.; To set light to; light."
allay,146,2.69,(noun) Alleviation; abatement; check.; An alloy. | (verb) To make quiet or put at rest; to pacify or appease; to quell; to calm.; To alleviate; to abate; to mitigate.
ambulatory,93,2.85,"(noun) The round walkway encircling the altar in many cathedrals.; Any part of a building intended for walking in; a corridor. | (adjective) Of, relating to, or adapted to walking; Able to walk about and not bedridden."
ameliorate,187,2.56,"(verb) To make better, or improve, something perceived to be in a negative condition.; To become better; improve."
amiable,98,2.84,(adjective) Friendly; kind; sweet; gracious; Of a pleasant and likeable nature; kind-hearted; easy to like
